AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
210;5;DOUGLAS DC-4;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-4(C54/C54A/C54B/C54E);DC-4;1-1-1990;
216;5;DOUGLAS DC-6;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-6;DC-6;1-1-1990;
218;5;DOUGLAS DC-6A;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-6A;DC-6A;1-1-1990;
220;5;DOUGLAS DC-6B;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-6B;DC-6B;1-1-1990;
225;5;DOUGLAS DC-7A/B;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-7A/B;DC-7A/B;1-1-1990;
228;5;DOUGLAS DC-7C;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-7C;DC-7C;1-1-1990;
630;6;DOUGLAS DC-9-10;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-9-10;DC-9-10;1-1-1990;
635;6;DOUGLAS DC-9-15F;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-9-15F;DC-9-15F;1-1-1990;
640;6;DOUGLAS DC-9-30;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-9-30;DC-9-30;1-1-1990;
645;6;DOUGLAS DC-9-40;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-9-40;DC-9-40;1-1-1990;
650;6;DOUGLAS DC-9-50;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-9-50;DC-9-50;1-1-1990;
654;6;MD-87;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC9 SUPER 87;MD-87;1-10-1996;
655;6;MD-80/1/2/3/8;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC9 SUPER 80/MD81/82/83/88;MD-80;1-1-1990;
656;6;MD-90;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS MD-90;MD-90;1-1-1995;
730;7;DOUGLAS DC-10-10;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-10-10;DC-10-10;1-1-1990;
731;7;DOUGLAS DC-10-20;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-10-20;DC-10-20;1-1-1990;
732;7;DOUGLAS DC-10-30;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-10-30;DC-10-30;1-1-1990;
733;7;DOUGLAS DC-10-40;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-10-40;DC-10-40;1-1-1990;
735;7;DOUGLAS DC-10-30CF;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-10-30CF;DC10-30F;1-1-1990;
740;7;MD-11;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS MD-11;MD-11;1-1-1990;
840;8;DOUGLAS DC-8-10;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-10;DC-8-10;1-1-1990;
842;8;DOUGLAS DC-8-20;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-20;DC-8-20;1-1-1990;
844;8;DOUGLAS DC-8-30;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-30;DC-8-30;1-1-1990;
846;8;DOUGLAS DC-8-40;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-40;DC-8-40;1-1-1990;
848;8;DOUGLAS DC-8-50;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-50;DC-8-50;1-1-1990;
850;8;DOUGLAS DC-8-50F;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-50F;DC-8-50F;1-1-1990;
851;8;DOUGLAS DC-8-61;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-61;DC-8-61;1-1-1990;
852;8;DOUGLAS DC-8-63F;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-63F;DC-8-63F;1-1-1990;
854;8;DOUGLAS DC-8-62;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-62;DC-8-62;1-1-1990;
856;8;DOUGLAS DC-8-63;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-63;DC-8-63;1-1-1990;
860;8;DOUGLAS DC-8-71;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-71;DC-8-71;1-1-1990;
862;8;DOUGLAS DC-8-72;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-72;DC-8-72;1-1-1990;
864;8;DOUGLAS DC-8-73;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-73;DC-8-73;1-1-1990;
865;8;DOUGLAS DC-8-73F;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-8-73F;DC-8-73F;1-1-1990;
463;4;MITSUBISHI MU-2/B;MITSUBISHI;MITSUBISHI MU-2/B;MU-2/B;1-1-1990;
